 proteinId	goAcc
1673	GO:0006413
1673	GO:0005737
1673	GO:0003743
1673	GO:0003723
1692	GO:0006412
1692	GO:0005840
1692	GO:0005622
1692	GO:0003735
1692	GO:0003723
1702	GO:0006350
1702	GO:0003887
1702	GO:0003677
1702	GO:0019984
1702	GO:0016452
1702	GO:0016451
1702	GO:0016450
1702	GO:0016449
1702	GO:0016448
1702	GO:0016000
1702	GO:0015999
1702	GO:0003895
1702	GO:0003894
1702	GO:0003893
1702	GO:0003891
1702	GO:0003890
1702	GO:0003889
1751	GO:0006725
1751	GO:0004497
1751	GO:0015036
1751	GO:0006118
1751	GO:0016491
1751	GO:0008152
1751	GO:0018662
1847	GO:0003910
1857	GO:0007001
1857	GO:0006334
1857	GO:0005634
1857	GO:0003677
1857	GO:0000786
1879	GO:0007242
1885	GO:0005976
1885	GO:0004339
1885	GO:0005975
1885	GO:0003824
1885	GO:0000272
1925	GO:0008152
1925	GO:0003824
1925	GO:0051341
1925	GO:0016491
1941	GO:0005634
1941	GO:0003677
1959	GO:0008152
1959	GO:0003824
1977	GO:0008233
1977	GO:0006508
1977	GO:0043275
1983	GO:0003723
1992	GO:0003824
1993	GO:0006561
1993	GO:0004350
1997	GO:0007018
1997	GO:0005875
1997	GO:0005524
1997	GO:0003777
2015	GO:0008080
2036	GO:0006508
2036	GO:0004197
2036	GO:0008840
2038	GO:0016491
2038	GO:0008152
2038	GO:0005506
2038	GO:0004025
2038	GO:0004024
2038	GO:0004023
2038	GO:0004022
2044	GO:0003824
2044	GO:0004104
2050	GO:0003723
2076	GO:0016021
2087	GO:0006396
2087	GO:0003723
2087	GO:0000175
2087	GO:0016896
2087	GO:0004534
2091	GO:0006096
2091	GO:0005945
2091	GO:0003872
2091	GO:0005737
2095	GO:0008408
2095	GO:0006260
2095	GO:0005634
2095	GO:0003887
2095	GO:0003677
2095	GO:0000166
2095	GO:0016020
2095	GO:0006810
2095	GO:0005215
2095	GO:0019984
2095	GO:0016452
2095	GO:0016451
2095	GO:0016450
2095	GO:0016449
2095	GO:0016448
2095	GO:0016000
2095	GO:0015999
2095	GO:0003895
2095	GO:0003894
2095	GO:0003893
2095	GO:0003891
2095	GO:0003890
2095	GO:0003889
2096	GO:0008270
2096	GO:0006355
2096	GO:0005634
2096	GO:0003700
2125	GO:0008152
2125	GO:0003824
2125	GO:0006003
2125	GO:0005524
2125	GO:0004331
2148	GO:0008270
2148	GO:0006355
2148	GO:0005634
2148	GO:0003700
2148	GO:0006350
2148	GO:0003677
2185	GO:0008080
2200	GO:0016491
2200	GO:0008152
2200	GO:0000140
2211	GO:0004802
2223	GO:0008152
2223	GO:0003824
2223	GO:0045244
2223	GO:0042709
2223	GO:0004776
2250	GO:0008080
2269	GO:0051276
2269	GO:0005694
2269	GO:0005524
2269	GO:0016887
2269	GO:0005515
2358	GO:0004081
2362	GO:0016491
2362	GO:0008270
2369	GO:0005524
2369	GO:0003677
2369	GO:0008026
2369	GO:0004386
2369	GO:0003676
2369	GO:0016567
2369	GO:0008270
2369	GO:0004842
2369	GO:0000151
2369	GO:0042626
2369	GO:0042625
2369	GO:0042624
2369	GO:0042623
2369	GO:0017116
2369	GO:0016887
2369	GO:0015616
2369	GO:0015462
2369	GO:0008186
2369	GO:0008094
2369	GO:0004004
2369	GO:0004003
2374	GO:0005515
2384	GO:0004402
2392	GO:0016491
2392	GO:0008152
2399	GO:0008757
2439	GO:0030833
2439	GO:0005856
2451	GO:0007264
2451	GO:0005525
2451	GO:0006886
2451	GO:0015031
2451	GO:0003925
2451	GO:0003924
2476	GO:0046961
2476	GO:0046933
2476	GO:0016469
2476	GO:0015986
2476	GO:0003936
2489	GO:0004521
2489	GO:0003723
2492	GO:0016308
2499	GO:0008757
2501	GO:0006561
2501	GO:0004735
2508	GO:0044267
2508	GO:0005524
2508	GO:0005515
2517	GO:0006725
2517	GO:0004497
2517	GO:0016491
2517	GO:0008152
2517	GO:0006118
2521	GO:0016491
2521	GO:0006118
2521	GO:0003884
2521	GO:0015922
2521	GO:0008445
2529	GO:0015935
2529	GO:0006412
2529	GO:0003735
2529	GO:0005840
2529	GO:0005622
2537	GO:0005737
2537	GO:0005094
2540	GO:0016021
2540	GO:0006810
2540	GO:0005215
2561	GO:0016192
2561	GO:0006904
2568	GO:0018169
2568	GO:0016881
2568	GO:0008766
2570	GO:0016491
2570	GO:0008152
2570	GO:0004090
2574	GO:0016614
2574	GO:0005975
2574	GO:0009331
2574	GO:0006072
2574	GO:0004367
2574	GO:0051287
2574	GO:0046168
2574	GO:0016616
2574	GO:0005737
2583	GO:0016769
2591	GO:0008757
2591	GO:0030792
2591	GO:0019702
2591	GO:0018707
2591	GO:0018423
2591	GO:0016436
2591	GO:0016435
2591	GO:0016434
2591	GO:0016433
2591	GO:0016431
2591	GO:0016427
2591	GO:0016426
2591	GO:0016424
2591	GO:0016423
2591	GO:0016300
2591	GO:0016279
2591	GO:0016278
2591	GO:0016274
2591	GO:0016273
2591	GO:0016205
2591	GO:0009383
2591	GO:0009008
2591	GO:0008650
2591	GO:0008649
2591	GO:0008425
2591	GO:0008326
2591	GO:0008276
2591	GO:0008175
2591	GO:0008174
2591	GO:0008173
2591	GO:0008172
2591	GO:0008171
2591	GO:0008170
2591	GO:0008169
2591	GO:0008168
2591	GO:0003880
2591	GO:0000179
2634	GO:0050576
2634	GO:0000253
2648	GO:0006508
2648	GO:0004197
2648	GO:0019538
2648	GO:0016706
2662	GO:0016020
2662	GO:0006487
2662	GO:0005509
2662	GO:0004571
2687	GO:0005524
2687	GO:0017111
2687	GO:0000166
2698	GO:0016021
2707	GO:0007049
2716	GO:0003963
2721	GO:0006397
2735	GO:0016787
2735	GO:0008152
2735	GO:0005975
2735	GO:0003824
2735	GO:0008843
2735	GO:0004568
2745	GO:0003824
2745	GO:0045239
2745	GO:0006106
2745	GO:0004333
2759	GO:0006512
2759	GO:0006464
2759	GO:0005622
2759	GO:0004842
2790	GO:0006418
2790	GO:0005524
2790	GO:0004812
2790	GO:0006433
2790	GO:0004827
2790	GO:0006412
2790	GO:0005737
2826	GO:0005524
2826	GO:0003677
2826	GO:0008026
2826	GO:0004386
2826	GO:0003676
2826	GO:0006979
2826	GO:0004601
2826	GO:0042626
2826	GO:0042625
2826	GO:0042624
2826	GO:0042623
