gene_id	A	B	p-value	FDR	significance
105313	476.125	2.01685	0	0	DOWN
81082	188.012	0.388781	4.44E-16	0.000106687	DOWN
70204	30.8683	0.0378778	3.33E-15	0.000106687	DOWN
112031	74.6035	0.708632	4.66E-15	0.000106687	DOWN
122511	1065.56	8.16165	1.44E-14	0.000106687	DOWN
49274	106.879	1.05212	1.44E-14	0.000106687	DOWN
68803	186.04	2.46745	1.69E-14	0.000106687	DOWN
123914	149.261	1.65829	3.82E-14	0.000106687	DOWN
59362	56.5321	0.138204	4.22E-14	0.000106687	DOWN
105882	195.885	0.663057	5.64E-14	0.000106687	DOWN
108676	703.881	2.29893	1.20E-13	0.000106687	DOWN
60489	1.33266	157.422	4.06E-13	0.000106687	UP
66935	2.52345	123.558	2.10E-12	0.000106687	UP
76659	214.616	1.82799	3.86E-12	0.000106687	DOWN
123261	52.0833	0.964997	3.98E-12	0.000106687	DOWN
120362	845.159	14.6268	4.20E-12	0.000106687	DOWN
70500	65.7158	1.09175	4.48E-12	0.000106687	DOWN
109945	109.374	2.3089	7.44E-12	0.000106687	DOWN
111890	1825.34	23.0812	9.07E-12	0.000106687	DOWN
103162	722.655	7.59892	1.25E-11	0.000106687	DOWN
65055	49.9586	1.01011	1.39E-11	0.000106687	DOWN
76065	476.897	10.4737	1.62E-11	0.000106687	DOWN
110711	125.098	2.35012	2.04E-11	0.000106687	DOWN
103866	194.784	3.28038	2.15E-11	0.000106687	DOWN
109373	8.31437	0.0872939	2.77E-11	0.000106687	DOWN
105406	888.004	9.89739	2.89E-11	0.000106687	DOWN
106378	127.453	2.17189	3.94E-11	0.000106687	DOWN
82146	210.846	4.72578	5.17E-11	0.000106687	DOWN
110862	188.719	2.50321	8.61E-11	0.000106687	DOWN
105242	211.967	3.79725	1.02E-10	0.000106687	DOWN
109372	10.4891	0.131705	1.06E-10	0.000106687	DOWN
80058	1.19166	114.311	1.12E-10	0.000106687	UP
110457	677.924	5.17406	1.29E-10	0.000106687	DOWN
49366	4.7801	205.629	1.75E-10	0.000106687	UP
1927	1219.77	19.5285	1.75E-10	0.000106687	DOWN
104419	314.62	3.04988	2.05E-10	0.000106687	DOWN
111121	230.867	3.05733	2.21E-10	0.000106687	DOWN
54790	664.891	10.6686	3.43E-10	0.000106687	DOWN
110456	25.3794	0.338056	6.39E-10	0.000106687	DOWN
121818	376.878	11.5362	9.99E-10	0.000106687	DOWN
112163	161.055	2.66598	1.04E-09	0.000106687	DOWN
77552	22.4797	0.200428	1.25E-09	0.000106687	DOWN
3405	85.5545	3.56728	1.85E-09	0.000106687	DOWN
23353	5.4743	138.716	2.08E-09	0.000106687	UP
22129	2329.28	49.7062	2.11E-09	0.000106687	DOWN
76897	1.50151	60.3319	2.44E-09	0.000106687	UP
76374	53.1572	1.79772	2.81E-09	0.000106687	DOWN
121251	487.777	13.9164	2.94E-09	0.000106687	DOWN
33763	623.591	18.0022	3.51E-09	0.000106687	DOWN
3434	339.071	14.5553	6.46E-09	0.000106687	DOWN
109371	8.47397	0.264266	8.87E-09	0.000106687	DOWN
119556	174.89	5.23456	1.01E-08	0.000106687	DOWN
111122	1001.94	21.4506	1.25E-08	0.000106687	DOWN
74194	17.0054	699.37	1.73E-08	0.000106687	UP
60378	70.7944	2.55363	2.05E-08	0.000106687	DOWN
111915	22.5935	475.122	2.46E-08	0.000106687	UP
57737	225.671	11.239	2.64E-08	0.000106687	DOWN
123278	17.808	0.60796	2.93E-08	0.000106687	DOWN
63395	158.67	8.91185	3.45E-08	0.000106687	DOWN
22915	0.794458	19.7201	3.52E-08	0.000106687	UP
32712	18.7275	384.304	3.55E-08	0.000106687	UP
105533	874.882	48.8551	5.22E-08	0.000106687	DOWN
102437	490.345	10.4673	5.52E-08	0.000106687	DOWN
64959	11.3542	217.464	8.16E-08	0.000106687	UP
54667	3.54621	64.6317	0.000000102	0.000106687	UP
120059	348.126	22.3703	0.000000116	0.000106687	DOWN
107037	1172.16	44.1459	0.000000118	0.000106687	DOWN
59402	130.212	6.50256	0.000000137	0.000106687	DOWN
120784	6.38168	124.91	0.000000155	0.000106687	UP
70201	60.4099	2.27891	0.000000167	0.000106687	DOWN
106605	305.08	20.5688	0.000000196	0.000106687	DOWN
123976	452.202	26.6636	0.000000214	0.000106687	DOWN
22459	0.755103	20.3978	0.000000236	0.000106687	UP
123697	11.1591	247.196	0.000000508	0.000106687	UP
105449	11.8686	0.400863	0.000000511	0.000106687	DOWN
102738	60.4218	4.44486	0.00000053	0.000106687	DOWN
102735	97.7167	7.23037	0.000000563	0.000106687	DOWN
122778	16.4212	237.214	0.00000058	0.000106687	UP
73643	11.8245	0.32391	0.000000581	0.000106687	DOWN
69468	40.7335	2.12064	0.000000592	0.000106687	DOWN
50104	3.28952	65.5979	0.000000619	0.000106687	UP
2316	10.7446	138.111	0.000000769	0.000106687	UP
71170	0.425765	12.3114	0.000000785	0.000106687	UP
103886	22.7383	351.986	0.000000796	0.000106687	UP
65229	40.7196	2.5269	0.000000853	0.000106687	DOWN
64719	109.003	8.22833	0.000000903	0.000106687	DOWN
58389	4.01883	52.7172	0.000000927	0.000106687	UP
111807	8.43524	0.124138	0.00000103	0.000106687	DOWN
123649	33.8351	2.55807	0.00000105	0.000107537	DOWN
108585	222.885	0.0255529	0.00000107	0.000108367	DOWN
61078	126.394	1888.36	0.00000113	0.000113186	UP
4999	2.37236	33.0394	0.00000127	0.000125827	UP
70090	22.637	0.622431	0.00000134	0.000131334	DOWN
112001	15.26	234.477	0.00000137	0.000132846	UP
123456	2.79338	71.3097	0.00000154	0.000147759	UP
34252	39.3007	475.307	0.00000167	0.000157868	UP
79779	2.08071	0.0627641	0.00000168	0.000157868	DOWN
110712	14.8077	1.10791	0.0000017	0.000158117	DOWN
104277	4.70962	83.7199	0.00000183	0.000168489	UP
109122	24.375	1.62754	0.00000197	0.000179566	DOWN
65711	7.37872	97.8486	0.00000214	0.000191064	UP
121308	3.95337	48.5208	0.00000217	0.000191064	UP
107151	40.6432	3.38813	0.00000217	0.000191064	DOWN
4626	7.81494	164.644	0.00000218	0.000191064	UP
82145	98.6634	7.6195	0.00000225	0.000195321	DOWN
81049	70.273	6.0777	0.00000229	0.000196918	DOWN
80659	0.652901	11.9602	0.00000245	0.000208708	UP
123572	1.06011	15.8241	0.00000261	0.000220279	UP
54227	0.993175	21.093	0.00000269	0.000224948	UP
53868	82.2094	6.41821	0.00000272	0.000225389	DOWN
52315	63.5334	1025.21	0.0000028	0.000229928	UP
76800	9.72907	107.609	0.00000297	0.00024171	UP
109249	2.60785	45.1528	0.00000305	0.000246024	UP
70139	18.7751	0.729379	0.00000328	0.000262256	DOWN
109787	11.272	141.241	0.00000333	0.000263939	UP
52375	7.15272	87.4877	0.00000337	0.000264806	UP
78223	77.619	6.03123	0.00000357	0.000278124	DOWN
105311	938.839	58.7943	0.00000369	0.000285037	DOWN
109278	414.142	17.0527	0.00000392	0.000300259	DOWN
54819	520.284	42.5796	0.00000408	0.00030991	DOWN
109117	23.5028	264.131	0.00000415	0.000312622	UP
22912	2.52841	27.1024	0.00000449	0.000334958	UP
47432	5.16537	57.1348	0.00000452	0.000334958	UP
5787	26.2364	2.3352	0.00000466	0.000342548	DOWN
74057	7.07446	83.1532	0.00000504	0.000367517	UP
4517	4.51529	45.7285	0.00000531	0.000384132	UP
74070	26.3337	350.721	0.00000552	0.00039618	UP
80875	12.0961	150.486	0.00000588	0.00041872	UP
50215	456.959	31.5198	0.00000598	0.00042254	DOWN
104359	5.42896	0.312379	0.00000607	0.000423047	DOWN
44700	34.8786	458.883	0.00000608	0.000423047	UP
80597	364.589	34.546	0.00000639	0.000441249	DOWN
124177	17.3586	231.743	0.00000655	0.000446907	UP
66827	0.438344	13.4207	0.00000657	0.000446907	UP
67538	3.3373	35.0278	0.00000743	0.000501663	UP
122780	2.06004	28.8238	0.00000806	0.000540198	UP
123179	7.37319	86.4964	0.00000821	0.000546235	UP
120030	144.076	10.0987	0.00000873	0.000576623	DOWN
106647	38.6851	2.66812	0.00000927	0.000607885	DOWN
109235	89.1106	7.89006	0.0000105	0.000678777	DOWN
121573	218.198	21.1941	0.0000105	0.000678777	DOWN
60810	12.5606	121.209	0.0000108	0.000688406	UP
107463	3.26262	41.9729	0.0000108	0.000688406	UP
70984	6.27341	0.368489	0.0000111	0.000699233	DOWN
122992	136.016	8.75662	0.0000112	0.000699233	DOWN
122376	157.218	13.4535	0.0000112	0.000699233	DOWN
67133	6.77059	73.9061	0.000012	0.000744082	UP
23367	21.6958	235.466	0.0000122	0.000751372	UP
121475	2.7538	26.4206	0.0000125	0.000764681	UP
51907	4.89106	48.821	0.0000126	0.00076566	UP
4146	0.43092	8.59627	0.0000127	0.000766626	UP
108729	51.7313	5.5653	0.000013	0.000774477	DOWN
59197	30.8254	2.40891	0.000013	0.000774477	DOWN
70994	6.05183	0.291313	0.0000132	0.000781286	DOWN
109952	9.07526	0.822384	0.0000134	0.000782955	DOWN
124059	494.103	57.2496	0.0000134	0.000782955	DOWN
123396	67.3409	6.67813	0.0000135	0.000783774	DOWN
64271	2322.46	186.041	0.000014	0.000807658	DOWN
121608	5.94581	86.5643	0.0000142	0.000814044	UP
111450	31.2924	1.69137	0.0000167	0.000951378	DOWN
106120	74.7966	7.42071	0.0000171	0.000968115	DOWN
107071	3.66201	0.151561	0.0000191	0.001071703	DOWN
80607	81.3637	6.88448	0.0000193	0.001071703	DOWN
74228	235.603	24.096	0.0000193	0.001071703	DOWN
69245	0.129624	3.67221	0.0000194	0.001071703	UP
59665	2.14092	20.3302	0.00002	0.001097075	UP
120231	0.120009	2.09001	0.0000201	0.001097075	UP
44965	7.5716	73.1117	0.0000206	0.001117673	UP
82041	97.5728	11.0669	0.0000208	0.001121846	DOWN
40156	70.0076	7.29362	0.0000221	0.001183351	DOWN
121306	160.845	17.0835	0.0000222	0.001183351	DOWN
110490	9.23266	0.417095	0.0000225	0.001192369	DOWN
50996	5.6387	66.7898	0.0000245	0.001290853	UP
69490	9.55583	0.0463745	0.0000247	0.001293911	DOWN
79244	322.211	25.0811	0.000025	0.001299923	DOWN
122993	133.684	9.40346	0.0000251	0.001299923	DOWN
123039	433.154	48.7066	0.0000276	0.001421322	DOWN
105260	0.669408	9.87107	0.0000281	0.001435994	UP
4876	22.1608	515.799	0.0000282	0.001435994	UP
70961	3.1431	29.4064	0.0000284	0.001438144	UP
50583	1.21233	13.3083	0.0000294	0.001474339	UP
59382	2.18586	17.9007	0.0000295	0.001474339	UP
69611	53.7732	5.29577	0.0000296	0.001474339	DOWN
103073	2.19415	0.129046	0.0000298	0.001476234	DOWN
122874	226.438	19.3321	0.0000302	0.001487962	DOWN
111750	39.737	529.308	0.0000305	0.001494664	UP
4875	6.52328	83.1467	0.000031	0.001511043	UP
61227	1047.41	57.8607	0.0000333	0.001614519	DOWN
67597	367.642	30.3606	0.0000351	0.001692786	DOWN
65522	77.6034	8.5557	0.0000373	0.001789418	DOWN
44088	130.03	14.2522	0.0000381	0.001818228	DOWN
110440	1.28846	13.9763	0.0000404	0.001912733	UP
62153	1.99021	20.1446	0.0000405	0.001912733	UP
63202	5.01326	61.7595	0.0000408	0.001916969	UP
105820	3.36047	0.0192306	0.0000415	0.001924792	DOWN
2852	252.436	25.9304	0.0000416	0.001924792	DOWN
109277	4.73924	0.0540657	0.0000416	0.001924792	DOWN
61763	284.302	27.0081	0.0000419	0.001928881	DOWN
58011	11.5968	98.6248	0.0000422	0.00193293	UP
56218	1.96469	18.8948	0.0000438	0.001996185	UP
66280	76.2815	6.50495	0.0000441	0.001999858	DOWN
69946	0.532363	4.85881	0.0000458	0.002060978	UP
54198	1472.95	148.353	0.0000459	0.002060978	DOWN
4851	6.08027	58.0393	0.0000465	0.002076441	UP
22741	7.29417	79.8159	0.0000467	0.002076441	UP
69904	58.9739	6.95135	0.0000476	0.002094697	DOWN
111237	124.663	3.62887	0.0000478	0.002094697	DOWN
49048	0.846612	8.30981	0.0000478	0.002094697	UP
59196	5.42286	0.183812	0.0000484	0.002110842	DOWN
65333	2.17507	18.6222	0.0000501	0.002158363	UP
123191	2446.87	206.197	0.0000501	0.002158363	DOWN
111783	42.322	5.44706	0.0000502	0.002158363	DOWN
30465	17.1941	1.22442	0.0000511	0.002186744	DOWN
54865	37.2234	3.37401	0.0000526	0.002234235	DOWN
21509	29.4146	269.806	0.0000527	0.002234235	UP
69692	0.177087	10.8705	0.0000544	0.00229563	UP
1999	49.4549	452.307	0.0000553	0.002311895	UP
105237	14.3795	0.170209	0.0000557	0.002311895	DOWN
120749	13.4637	1.43197	0.0000558	0.002311895	DOWN
52165	8.15241	65.412	0.0000558	0.002311895	UP
124016	1.46252	13.4319	0.0000564	0.002326181	UP
74122	4.03516	31.7129	0.0000574	0.002356761	UP
69879	210.047	28.4311	0.0000605	0.002461864	DOWN
65718	230.68	2081.39	0.0000605	0.002461864	UP
76363	136.242	17.6318	0.0000626	0.002535996	DOWN
42152	8.32619	0.229	0.0000632	0.002548973	DOWN
78828	18.4948	156.245	0.0000657	0.00263813	UP
3449	0.786819	7.99441	0.0000679	0.002714511	UP
121739	6.31592	67.6581	0.0000738	0.002937498	UP
102999	0.567023	8.97952	0.0000746	0.002950588	UP
3481	0.272824	4.14684	0.0000749	0.002950588	UP
123079	2.93792	44.474	0.0000751	0.002950588	UP
80920	33.6647	626.462	0.0000781	0.003046124	UP
51654	7.00805	0.470526	0.0000782	0.003046124	DOWN
69863	21.068	2.64674	0.0000791	0.00306807	DOWN
67509	7.05165	63.1434	0.0000815	0.003147765	UP
80291	6.49936	47.5971	0.0000819	0.003149867	UP
57868	114.094	16.3464	0.0000834	0.00319408	DOWN
104461	98.518	13.9112	0.0000844	0.003218854	DOWN
38441	111.863	15.8289	0.0000866	0.003288996	DOWN
45852	15.3784	1.82927	0.0000894	0.003371043	DOWN
108684	28.8186	1.21067	0.0000895	0.003371043	DOWN
107881	74.4879	10.2112	0.0000918	0.003430216	DOWN
79300	33.357	279.584	0.0000921	0.003430216	UP
48211	13.5837	187.099	0.0000922	0.003430216	UP
55709	63.5046	8.54712	0.0000974	0.003608947	DOWN
105291	0.299642	4.27282	0.000101831	0.003757852	UP
55306	0.41913	4.77604	0.000102823	0.00377916	UP
47733	499.148	49.913	0.000104385	0.003819331	DOWN
75713	4.61316	33.8869	0.000104754	0.003819331	UP
2687	4.47958	40.8635	0.000106549	0.003869299	UP
71029	78.4515	571.803	0.000108589	0.00391659	UP
